sample,response,population,percentage
sample00696,no,b_cell,6.98
sample00697,no,b_cell,6.21
sample00698,no,b_cell,4.02
sample00717,no,b_cell,14.57
sample00718,no,b_cell,5.94
sample00719,no,b_cell,6.35
sample00726,no,b_cell,10.95
sample00727,no,b_cell,8.05
sample00728,no,b_cell,6.12
sample00756,no,b_cell,7.96
sample00757,no,b_cell,8.83
sample00758,no,b_cell,8.58
sample00798,no,b_cell,5.28
sample00799,no,b_cell,11.5
sample00800,no,b_cell,11.15
sample00807,no,b_cell,11.45
sample00808,no,b_cell,15.93
sample00809,no,b_cell,15.61
sample00849,no,b_cell,13.05
sample00850,no,b_cell,6.81
sample00851,no,b_cell,12.97
sample00867,no,b_cell,6.94
sample00868,no,b_cell,10.79
sample00869,no,b_cell,10.21
sample00918,no,b_cell,7.05
sample00919,no,b_cell,12.03
sample00920,no,b_cell,9.29
sample00966,no,b_cell,10.18
sample00967,no,b_cell,8.74
sample00968,no,b_cell,13.47
sample00987,no,b_cell,10.25
sample00988,no,b_cell,6.39
sample00989,no,b_cell,10.8
sample01011,no,b_cell,8.32
sample01012,no,b_cell,11.28
sample01013,no,b_cell,7.02
sample01023,no,b_cell,9.71
sample01024,no,b_cell,8.4
sample01025,no,b_cell,8.2
sample01041,no,b_cell,12.42
sample01042,no,b_cell,11.84
sample01043,no,b_cell,10.05
sample01053,no,b_cell,6.84
sample01054,no,b_cell,14.13
sample01055,no,b_cell,8.46
sample01062,no,b_cell,5.28
sample01063,no,b_cell,7.85
sample01064,no,b_cell,14.78
sample01110,no,b_cell,5.87
sample01111,no,b_cell,12.71
sample01112,no,b_cell,18.36
sample01134,no,b_cell,6.43
sample01135,no,b_cell,17.16
sample01136,no,b_cell,8.45
sample01137,no,b_cell,8.56
sample01138,no,b_cell,9.29
sample01139,no,b_cell,4.53
sample01143,no,b_cell,8.89
sample01144,no,b_cell,16.14
sample01145,no,b_cell,13.42
sample01152,no,b_cell,11.15
sample01153,no,b_cell,10.4
sample01154,no,b_cell,11.65
sample01161,no,b_cell,15.76
sample01162,no,b_cell,9.2
sample01163,no,b_cell,7.6
sample01218,no,b_cell,10.05
sample01219,no,b_cell,16.27
sample01220,no,b_cell,8.42
sample01227,no,b_cell,11.3
sample01228,no,b_cell,10.9
sample01229,no,b_cell,5.33
sample01230,no,b_cell,10.68
sample01231,no,b_cell,11.82
sample01232,no,b_cell,13.84
sample01242,no,b_cell,5.81
sample01243,no,b_cell,15.72
sample01244,no,b_cell,11.95
sample01314,no,b_cell,5.42
sample01315,no,b_cell,10.56
sample01316,no,b_cell,10.57
sample01344,no,b_cell,9.23
sample01345,no,b_cell,10.84
sample01346,no,b_cell,10.8
sample01386,no,b_cell,7.29
sample01387,no,b_cell,7.18
sample01388,no,b_cell,8.57
sample01395,no,b_cell,5.84
sample01396,no,b_cell,15.24
sample01397,no,b_cell,5.87
sample01413,no,b_cell,12.31
sample01414,no,b_cell,8.2
sample01415,no,b_cell,18.67
sample01431,no,b_cell,12.77
sample01432,no,b_cell,4.26
sample01433,no,b_cell,6.11
sample01542,no,b_cell,5.03
sample01543,no,b_cell,15.24
sample01544,no,b_cell,13.13
sample01554,no,b_cell,11.12
sample01555,no,b_cell,17.09
sample01556,no,b_cell,4.27
sample01587,no,b_cell,7.78
sample01588,no,b_cell,7.26
sample01589,no,b_cell,6.42
sample01611,no,b_cell,9.51
sample01612,no,b_cell,11.91
sample01613,no,b_cell,6.15
sample01674,no,b_cell,7.53
sample01675,no,b_cell,10.55
sample01676,no,b_cell,6.94
sample01680,no,b_cell,13.01
sample01681,no,b_cell,7.77
sample01682,no,b_cell,11.38
sample01686,no,b_cell,18.81
sample01687,no,b_cell,9.97
sample01688,no,b_cell,12.45
sample01701,no,b_cell,7.49
sample01702,no,b_cell,6.86
sample01703,no,b_cell,17.3
sample01722,no,b_cell,10.67
sample01723,no,b_cell,17.41
sample01724,no,b_cell,7.33
sample01752,no,b_cell,9.77
sample01753,no,b_cell,8.81
sample01754,no,b_cell,9.98
sample01767,no,b_cell,8.7
sample01768,no,b_cell,10.03
sample01769,no,b_cell,12.11
sample01803,no,b_cell,7.34
sample01804,no,b_cell,4.99
sample01805,no,b_cell,10.72
sample01809,no,b_cell,12.94
sample01810,no,b_cell,8.22
sample01811,no,b_cell,12.25
sample01812,no,b_cell,11.03
sample01813,no,b_cell,7.31
sample01814,no,b_cell,12.42
sample01848,no,b_cell,5.14
sample01849,no,b_cell,11.87
sample01850,no,b_cell,8.26
sample01866,no,b_cell,3.97
sample01867,no,b_cell,8.44
sample01868,no,b_cell,11.0
sample01875,no,b_cell,12.37
sample01876,no,b_cell,6.13
sample01877,no,b_cell,18.1
sample01884,no,b_cell,12.77
sample01885,no,b_cell,13.84
sample01886,no,b_cell,8.56
sample01893,no,b_cell,9.08
sample01894,no,b_cell,10.25
sample01895,no,b_cell,19.13
sample01914,no,b_cell,14.03
sample01915,no,b_cell,16.55
sample01916,no,b_cell,17.3
sample01926,no,b_cell,12.99
sample01927,no,b_cell,8.94
sample01928,no,b_cell,9.87
sample01932,no,b_cell,11.96
sample01933,no,b_cell,11.89
sample01934,no,b_cell,11.53
sample01968,no,b_cell,9.07
sample01969,no,b_cell,9.31
sample01970,no,b_cell,4.99
sample01986,no,b_cell,9.64
sample01987,no,b_cell,12.57
sample01988,no,b_cell,10.72
sample01992,no,b_cell,5.58
sample01993,no,b_cell,7.93
sample01994,no,b_cell,11.12
sample02010,no,b_cell,9.22
sample02011,no,b_cell,14.07
sample02012,no,b_cell,9.64
sample02016,no,b_cell,12.85
sample02017,no,b_cell,9.09
sample02018,no,b_cell,11.48
sample02040,no,b_cell,8.14
sample02041,no,b_cell,13.36
sample02042,no,b_cell,9.61
sample02046,no,b_cell,10.76
sample02047,no,b_cell,5.74
sample02048,no,b_cell,7.27
sample02061,no,b_cell,14.25
sample02062,no,b_cell,9.17
sample02063,no,b_cell,9.35
sample02109,no,b_cell,8.81
sample02110,no,b_cell,14.5
sample02111,no,b_cell,8.64
sample02148,no,b_cell,13.14
sample02149,no,b_cell,9.34
sample02150,no,b_cell,10.08
sample02169,no,b_cell,5.93
sample02170,no,b_cell,6.02
sample02171,no,b_cell,6.55
sample02205,no,b_cell,8.75
sample02206,no,b_cell,21.09
sample02207,no,b_cell,16.17
sample02214,no,b_cell,12.03
sample02215,no,b_cell,10.89
sample02216,no,b_cell,8.05
sample02232,no,b_cell,10.07
sample02233,no,b_cell,7.25
sample02234,no,b_cell,7.12
sample02253,no,b_cell,8.43
sample02254,no,b_cell,12.77
sample02255,no,b_cell,13.17
sample02286,no,b_cell,8.38
sample02287,no,b_cell,14.25
sample02288,no,b_cell,10.57
sample02289,no,b_cell,11.75
sample02290,no,b_cell,13.07
sample02291,no,b_cell,4.03
sample02319,no,b_cell,11.75
sample02320,no,b_cell,10.9
sample02321,no,b_cell,11.0
sample02334,no,b_cell,15.21
sample02335,no,b_cell,11.41
sample02336,no,b_cell,13.9
sample02355,no,b_cell,7.46
sample02356,no,b_cell,10.96
sample02357,no,b_cell,8.45
sample02364,no,b_cell,9.35
sample02365,no,b_cell,9.31
sample02366,no,b_cell,7.56
sample02412,no,b_cell,6.39
sample02413,no,b_cell,11.21
sample02414,no,b_cell,11.13
sample02430,no,b_cell,15.61
sample02431,no,b_cell,16.34
sample02432,no,b_cell,9.71
sample02436,no,b_cell,10.91
sample02437,no,b_cell,11.77
sample02438,no,b_cell,13.72
sample02478,no,b_cell,11.42
sample02479,no,b_cell,11.3
sample02480,no,b_cell,12.65
sample02541,no,b_cell,6.94
sample02542,no,b_cell,10.22
sample02543,no,b_cell,9.0
sample02583,no,b_cell,10.87
sample02584,no,b_cell,7.05
sample02585,no,b_cell,8.04
sample02592,no,b_cell,10.2
sample02593,no,b_cell,10.12
sample02594,no,b_cell,10.25
sample02619,no,b_cell,8.82
sample02620,no,b_cell,16.74
sample02621,no,b_cell,11.43
sample02646,no,b_cell,11.47
sample02647,no,b_cell,10.71
sample02648,no,b_cell,10.4
sample02661,no,b_cell,11.36
sample02662,no,b_cell,7.7
sample02663,no,b_cell,14.16
sample02664,no,b_cell,7.04
sample02665,no,b_cell,10.6
sample02666,no,b_cell,6.62
sample02667,no,b_cell,14.31
sample02668,no,b_cell,10.6
sample02669,no,b_cell,6.76
sample02682,no,b_cell,6.97
sample02683,no,b_cell,9.89
sample02684,no,b_cell,9.26
sample02700,no,b_cell,9.76
sample02701,no,b_cell,8.38
sample02702,no,b_cell,8.97
sample02706,no,b_cell,8.39
sample02707,no,b_cell,5.85
sample02708,no,b_cell,10.48
sample02718,no,b_cell,11.09
sample02719,no,b_cell,5.01
sample02720,no,b_cell,8.96
sample02742,no,b_cell,8.59
sample02743,no,b_cell,5.24
sample02744,no,b_cell,8.86
sample02775,no,b_cell,13.88
sample02776,no,b_cell,17.32
sample02777,no,b_cell,12.55
sample02799,no,b_cell,15.22
sample02800,no,b_cell,13.01
sample02801,no,b_cell,13.58
sample02811,no,b_cell,10.51
sample02812,no,b_cell,6.81
sample02813,no,b_cell,6.96
sample02829,no,b_cell,10.88
sample02830,no,b_cell,5.58
sample02831,no,b_cell,9.11
sample02886,no,b_cell,10.3
sample02887,no,b_cell,10.92
sample02888,no,b_cell,9.18
sample02889,no,b_cell,12.96
sample02890,no,b_cell,5.29
sample02891,no,b_cell,13.05
sample02901,no,b_cell,13.83
sample02902,no,b_cell,11.74
sample02903,no,b_cell,8.95
sample02961,no,b_cell,13.93
sample02962,no,b_cell,12.97
sample02963,no,b_cell,4.58
sample02970,no,b_cell,11.84
sample02971,no,b_cell,6.41
sample02972,no,b_cell,5.12
sample03006,no,b_cell,9.28
sample03007,no,b_cell,10.53
sample03008,no,b_cell,9.15
sample03030,no,b_cell,5.81
sample03031,no,b_cell,12.67
sample03032,no,b_cell,12.59
sample03051,no,b_cell,11.55
sample03052,no,b_cell,11.13
sample03053,no,b_cell,16.8
sample03096,no,b_cell,11.45
sample03097,no,b_cell,8.26
sample03098,no,b_cell,5.75
sample03108,no,b_cell,9.04
sample03109,no,b_cell,9.0
sample03110,no,b_cell,9.93
sample03132,no,b_cell,7.29
sample03133,no,b_cell,16.5
sample03134,no,b_cell,10.72
sample03186,no,b_cell,9.01
sample03187,no,b_cell,9.41
sample03188,no,b_cell,13.1
sample03198,no,b_cell,12.56
sample03199,no,b_cell,11.21
sample03200,no,b_cell,10.64
sample03213,no,b_cell,10.04
sample03214,no,b_cell,8.23
sample03215,no,b_cell,10.76
sample03252,no,b_cell,4.83
sample03253,no,b_cell,7.09
sample03254,no,b_cell,8.85
sample03258,no,b_cell,11.26
sample03259,no,b_cell,8.88
sample03260,no,b_cell,8.95
sample03318,no,b_cell,13.74
sample03319,no,b_cell,14.72
sample03320,no,b_cell,10.28
sample03321,no,b_cell,5.17
sample03322,no,b_cell,6.12
sample03323,no,b_cell,5.58
sample03333,no,b_cell,11.59
sample03334,no,b_cell,12.73
sample03335,no,b_cell,6.74
sample03363,no,b_cell,9.32
sample03364,no,b_cell,10.55
sample03365,no,b_cell,5.51
sample03384,no,b_cell,13.02
sample03385,no,b_cell,11.76
sample03386,no,b_cell,18.84
sample03390,no,b_cell,7.35
sample03391,no,b_cell,14.05
sample03392,no,b_cell,11.12
sample03402,no,b_cell,6.28
sample03403,no,b_cell,9.41
sample03404,no,b_cell,7.06
sample03414,no,b_cell,10.06
sample03415,no,b_cell,9.99
sample03416,no,b_cell,10.41
sample03420,no,b_cell,8.77
sample03421,no,b_cell,9.74
sample03422,no,b_cell,7.89
sample03432,no,b_cell,7.61
sample03433,no,b_cell,5.77
sample03434,no,b_cell,4.68
sample03474,no,b_cell,5.65
sample03475,no,b_cell,10.29
sample03476,no,b_cell,10.06
sample03489,no,b_cell,11.34
sample03490,no,b_cell,12.07
sample03491,no,b_cell,15.37
sample03552,no,b_cell,8.82
sample03553,no,b_cell,8.4
sample03554,no,b_cell,12.41
sample03579,no,b_cell,5.56
sample03580,no,b_cell,9.1
sample03581,no,b_cell,13.01
sample03615,no,b_cell,9.85
sample03616,no,b_cell,8.8
sample03617,no,b_cell,10.46
sample03633,no,b_cell,13.43
sample03634,no,b_cell,9.19
sample03635,no,b_cell,5.93
sample03666,no,b_cell,14.32
sample03667,no,b_cell,13.79
sample03668,no,b_cell,11.41
sample03681,no,b_cell,6.16
sample03682,no,b_cell,7.34
sample03683,no,b_cell,10.2
sample03684,no,b_cell,9.99
sample03685,no,b_cell,7.88
sample03686,no,b_cell,5.56
sample03699,no,b_cell,6.93
sample03700,no,b_cell,12.89
sample03701,no,b_cell,6.5
sample03717,no,b_cell,7.63
sample03718,no,b_cell,6.77
sample03719,no,b_cell,14.53
sample03720,no,b_cell,11.99
sample03721,no,b_cell,8.31
sample03722,no,b_cell,9.66
sample03738,no,b_cell,9.45
sample03739,no,b_cell,7.4
sample03740,no,b_cell,7.62
sample03768,no,b_cell,11.85
sample03769,no,b_cell,5.88
sample03770,no,b_cell,9.03
sample03774,no,b_cell,7.49
sample03775,no,b_cell,11.59
sample03776,no,b_cell,12.87
sample03816,no,b_cell,14.92
sample03817,no,b_cell,12.89
sample03818,no,b_cell,9.14
sample03891,no,b_cell,10.39
sample03892,no,b_cell,6.84
sample03893,no,b_cell,13.82
sample03939,no,b_cell,7.24
sample03940,no,b_cell,7.89
sample03941,no,b_cell,12.42
sample03972,no,b_cell,12.07
sample03973,no,b_cell,10.79
sample03974,no,b_cell,3.73
sample04062,no,b_cell,6.17
sample04063,no,b_cell,18.37
sample04064,no,b_cell,9.55
sample04074,no,b_cell,10.69
sample04075,no,b_cell,13.22
sample04076,no,b_cell,11.27
sample04095,no,b_cell,10.98
sample04096,no,b_cell,9.0
sample04097,no,b_cell,17.45
sample04134,no,b_cell,9.0
sample04135,no,b_cell,17.7
sample04136,no,b_cell,15.6
sample04143,no,b_cell,11.96
sample04144,no,b_cell,10.51
sample04145,no,b_cell,11.37
sample04182,no,b_cell,7.26
sample04183,no,b_cell,10.79
sample04184,no,b_cell,15.19
sample04191,no,b_cell,11.13
sample04192,no,b_cell,11.04
sample04193,no,b_cell,11.54
sample04200,no,b_cell,9.82
sample04201,no,b_cell,7.28
sample04202,no,b_cell,7.94
sample04206,no,b_cell,11.7
sample04207,no,b_cell,9.21
sample04208,no,b_cell,11.74
sample04209,no,b_cell,10.5
sample04210,no,b_cell,8.96
sample04211,no,b_cell,11.81
sample04278,no,b_cell,9.82
sample04279,no,b_cell,11.8
sample04280,no,b_cell,11.81
sample04308,no,b_cell,8.15
sample04309,no,b_cell,13.21
sample04310,no,b_cell,14.78
sample04338,no,b_cell,13.12
sample04339,no,b_cell,9.55
sample04340,no,b_cell,9.45
sample04419,no,b_cell,9.4
sample04420,no,b_cell,10.96
sample04421,no,b_cell,9.69
sample04428,no,b_cell,9.96
sample04429,no,b_cell,6.07
sample04430,no,b_cell,12.55
sample04449,no,b_cell,5.43
sample04450,no,b_cell,10.44
sample04451,no,b_cell,15.59
sample07503,no,b_cell,6.75
sample07504,no,b_cell,9.0
sample07505,no,b_cell,6.73
sample07515,no,b_cell,8.22
sample07516,no,b_cell,10.34
sample07517,no,b_cell,8.02
sample07542,no,b_cell,11.24
sample07543,no,b_cell,9.14
sample07544,no,b_cell,4.85
sample07620,no,b_cell,8.91
sample07621,no,b_cell,8.24
sample07622,no,b_cell,11.85
sample07632,no,b_cell,7.22
sample07633,no,b_cell,11.11
sample07634,no,b_cell,8.9
sample07644,no,b_cell,9.19
sample07645,no,b_cell,7.89
sample07646,no,b_cell,7.94
sample07653,no,b_cell,9.83
sample07654,no,b_cell,8.51
sample07655,no,b_cell,8.49
sample07674,no,b_cell,8.89
sample07675,no,b_cell,7.6
sample07676,no,b_cell,8.01
sample07698,no,b_cell,8.21
sample07699,no,b_cell,10.11
sample07700,no,b_cell,11.91
sample07710,no,b_cell,20.78
sample07711,no,b_cell,7.97
sample07712,no,b_cell,9.95
sample07722,no,b_cell,7.6
sample07723,no,b_cell,10.2
sample07724,no,b_cell,9.35
sample07734,no,b_cell,6.94
sample07735,no,b_cell,9.71
sample07736,no,b_cell,10.53
sample07746,no,b_cell,7.64
sample07747,no,b_cell,8.38
sample07748,no,b_cell,6.55
sample07809,no,b_cell,8.58
sample07810,no,b_cell,7.75
sample07811,no,b_cell,4.33
sample07815,no,b_cell,13.62
sample07816,no,b_cell,8.3
sample07817,no,b_cell,12.43
sample07818,no,b_cell,7.97
sample07819,no,b_cell,16.28
sample07820,no,b_cell,11.2
sample07833,no,b_cell,4.66
sample07834,no,b_cell,13.57
sample07835,no,b_cell,5.9
sample07872,no,b_cell,10.64
sample07873,no,b_cell,8.8
sample07874,no,b_cell,10.09
sample07899,no,b_cell,2.06
sample07900,no,b_cell,3.79
sample07901,no,b_cell,12.8
sample07926,no,b_cell,16.84
sample07927,no,b_cell,7.38
sample07928,no,b_cell,7.92
sample07929,no,b_cell,10.61
sample07930,no,b_cell,10.09
sample07931,no,b_cell,11.91
sample07932,no,b_cell,13.42
sample07933,no,b_cell,8.3
sample07934,no,b_cell,16.24
sample07941,no,b_cell,9.79
sample07942,no,b_cell,12.91
sample07943,no,b_cell,8.0
sample07959,no,b_cell,4.8
sample07960,no,b_cell,7.37
sample07961,no,b_cell,11.74
sample08004,no,b_cell,4.74
sample08005,no,b_cell,11.74
sample08006,no,b_cell,9.24
sample08013,no,b_cell,11.32
sample08014,no,b_cell,12.26
sample08015,no,b_cell,12.43
sample08028,no,b_cell,9.14
sample08029,no,b_cell,7.05
sample08030,no,b_cell,14.92
sample08049,no,b_cell,9.76
sample08050,no,b_cell,7.28
sample08051,no,b_cell,12.24
sample08064,no,b_cell,8.8
sample08065,no,b_cell,7.14
sample08066,no,b_cell,6.89
sample08076,no,b_cell,13.61
sample08077,no,b_cell,8.13
sample08078,no,b_cell,6.18
sample08118,no,b_cell,9.56
sample08119,no,b_cell,9.69
sample08120,no,b_cell,10.52
sample08133,no,b_cell,5.08
sample08134,no,b_cell,12.55
sample08135,no,b_cell,10.74
sample08142,no,b_cell,7.55
sample08143,no,b_cell,13.55
sample08144,no,b_cell,18.46
sample08160,no,b_cell,5.62
sample08161,no,b_cell,12.31
sample08162,no,b_cell,7.7
sample08184,no,b_cell,10.69
sample08185,no,b_cell,13.53
sample08186,no,b_cell,10.63
sample08214,no,b_cell,6.63
sample08215,no,b_cell,10.22
sample08216,no,b_cell,6.19
sample08277,no,b_cell,9.28
sample08278,no,b_cell,10.93
sample08279,no,b_cell,8.52
sample08304,no,b_cell,13.13
sample08305,no,b_cell,16.09
sample08306,no,b_cell,9.88
sample08313,no,b_cell,9.69
sample08314,no,b_cell,10.33
sample08315,no,b_cell,9.53
sample08325,no,b_cell,9.11
sample08326,no,b_cell,5.48
sample08327,no,b_cell,12.87
sample08331,no,b_cell,12.6
sample08332,no,b_cell,21.3
sample08333,no,b_cell,16.41
sample08334,no,b_cell,6.26
sample08335,no,b_cell,9.74
sample08336,no,b_cell,10.59
sample08367,no,b_cell,11.22
sample08368,no,b_cell,10.4
sample08369,no,b_cell,7.03
sample08397,no,b_cell,6.38
sample08398,no,b_cell,10.83
sample08399,no,b_cell,5.63
sample08412,no,b_cell,12.1
sample08413,no,b_cell,7.34
sample08414,no,b_cell,4.88
sample08415,no,b_cell,9.27
sample08416,no,b_cell,3.08
sample08417,no,b_cell,8.59
sample08421,no,b_cell,8.71
sample08422,no,b_cell,5.4
sample08423,no,b_cell,16.8
sample08433,no,b_cell,10.97
sample08434,no,b_cell,10.9
sample08435,no,b_cell,10.55
sample08436,no,b_cell,8.28
sample08437,no,b_cell,13.25
sample08438,no,b_cell,13.14
sample08439,no,b_cell,9.34
sample08440,no,b_cell,11.02
sample08441,no,b_cell,4.25
sample08460,no,b_cell,20.28
sample08461,no,b_cell,8.94
sample08462,no,b_cell,6.19
sample08472,no,b_cell,10.81
sample08473,no,b_cell,7.8
sample08474,no,b_cell,8.55
sample08493,no,b_cell,15.11
sample08494,no,b_cell,13.77
sample08495,no,b_cell,6.58
sample08502,no,b_cell,7.66
sample08503,no,b_cell,5.14
sample08504,no,b_cell,9.84
sample08520,no,b_cell,10.14
sample08521,no,b_cell,11.51
sample08522,no,b_cell,9.98
sample08526,no,b_cell,9.09
sample08527,no,b_cell,6.55
sample08528,no,b_cell,7.82
sample08541,no,b_cell,10.13
sample08542,no,b_cell,4.56
sample08543,no,b_cell,5.68
sample08556,no,b_cell,10.37
sample08557,no,b_cell,9.53
sample08558,no,b_cell,9.11
sample08559,no,b_cell,12.99
sample08560,no,b_cell,7.87
sample08561,no,b_cell,9.73
sample08589,no,b_cell,13.77
sample08590,no,b_cell,13.11
sample08591,no,b_cell,14.19
sample08637,no,b_cell,13.44
sample08638,no,b_cell,10.41
sample08639,no,b_cell,12.96
sample08661,no,b_cell,12.67
sample08662,no,b_cell,10.61
sample08663,no,b_cell,8.22
sample08664,no,b_cell,9.74
sample08665,no,b_cell,16.68
sample08666,no,b_cell,9.08
sample08712,no,b_cell,11.32
sample08713,no,b_cell,12.92
sample08714,no,b_cell,11.94
sample08730,no,b_cell,13.21
sample08731,no,b_cell,13.35
sample08732,no,b_cell,7.67
sample08751,no,b_cell,3.93
sample08752,no,b_cell,10.7
sample08753,no,b_cell,6.79
sample08763,no,b_cell,12.31
sample08764,no,b_cell,12.76
sample08765,no,b_cell,14.59
sample08805,no,b_cell,7.27
sample08806,no,b_cell,8.69
sample08807,no,b_cell,10.01
sample08874,no,b_cell,8.11
sample08875,no,b_cell,9.03
sample08876,no,b_cell,5.6
sample08919,no,b_cell,9.11
sample08920,no,b_cell,5.75
sample08921,no,b_cell,9.96
sample08952,no,b_cell,12.9
sample08953,no,b_cell,9.12
sample08954,no,b_cell,6.2
sample08958,no,b_cell,19.42
sample08959,no,b_cell,7.79
sample08960,no,b_cell,14.18
sample08967,no,b_cell,3.77
sample08968,no,b_cell,9.26
sample08969,no,b_cell,10.5
sample08976,no,b_cell,12.63
sample08977,no,b_cell,4.87
sample08978,no,b_cell,7.62
sample09003,no,b_cell,8.3
sample09004,no,b_cell,8.78
sample09005,no,b_cell,6.18
sample09030,no,b_cell,16.09
sample09031,no,b_cell,8.05
sample09032,no,b_cell,15.93
sample09036,no,b_cell,10.21
sample09037,no,b_cell,6.07
sample09038,no,b_cell,7.49
sample09039,no,b_cell,10.81
sample09040,no,b_cell,9.04
sample09041,no,b_cell,9.54
sample09048,no,b_cell,5.65
sample09049,no,b_cell,5.29
sample09050,no,b_cell,10.81
sample09060,no,b_cell,10.9
sample09061,no,b_cell,13.73
sample09062,no,b_cell,9.88
sample09066,no,b_cell,6.54
sample09067,no,b_cell,13.34
sample09068,no,b_cell,10.76
sample09150,no,b_cell,11.08
sample09151,no,b_cell,9.43
sample09152,no,b_cell,8.52
sample09159,no,b_cell,6.73
sample09160,no,b_cell,11.88
sample09161,no,b_cell,6.14
sample09183,no,b_cell,10.14
sample09184,no,b_cell,6.6
sample09185,no,b_cell,10.41
sample09213,no,b_cell,11.71
sample09214,no,b_cell,8.18
sample09215,no,b_cell,7.56
sample09246,no,b_cell,7.89
sample09247,no,b_cell,12.59
sample09248,no,b_cell,9.91
sample09249,no,b_cell,9.15
sample09250,no,b_cell,9.14
sample09251,no,b_cell,11.16
sample09288,no,b_cell,6.16
sample09289,no,b_cell,7.78
sample09290,no,b_cell,9.72
sample09294,no,b_cell,12.99
sample09295,no,b_cell,8.69
sample09296,no,b_cell,6.13
sample09303,no,b_cell,6.0
sample09304,no,b_cell,6.16
sample09305,no,b_cell,13.48
sample09354,no,b_cell,7.42
sample09355,no,b_cell,13.74
sample09356,no,b_cell,12.02
sample09363,no,b_cell,9.62
sample09364,no,b_cell,13.75
sample09365,no,b_cell,9.77
sample09378,no,b_cell,9.78
sample09379,no,b_cell,11.02
sample09380,no,b_cell,8.17
sample09384,no,b_cell,6.98
sample09385,no,b_cell,8.88
sample09386,no,b_cell,8.95
sample09387,no,b_cell,7.89
sample09388,no,b_cell,10.66
sample09389,no,b_cell,10.89
sample09414,no,b_cell,11.66
sample09415,no,b_cell,8.53
sample09416,no,b_cell,13.19
sample09420,no,b_cell,10.97
sample09421,no,b_cell,14.72
sample09422,no,b_cell,15.97
sample09429,no,b_cell,4.87
sample09430,no,b_cell,6.29
sample09431,no,b_cell,16.31
sample09432,no,b_cell,10.22
sample09433,no,b_cell,13.18
sample09434,no,b_cell,7.64
sample09477,no,b_cell,8.84
sample09478,no,b_cell,16.82
sample09479,no,b_cell,10.35
sample09483,no,b_cell,11.25
sample09484,no,b_cell,11.27
sample09485,no,b_cell,7.72
sample09492,no,b_cell,8.98
sample09493,no,b_cell,7.66
sample09494,no,b_cell,10.38
